ID	HighScore	NoOfUsersWithHighScore	NoOfReadsinPuzzle	NoOfUsableReadsinPuzzle	UserPercentDifferntToBWA	MeanPercentOfReadsDifferent	NoOfReadsinPuzzleCovALT	UserPercentDifferntToBWACovALT	MeanPercentOfReadsDifferentCovALT
2	813	7	20	20	0	0	5	0	0
3	1503	6	20	20	0	0	13	0	0
4	1620	12	20	20	0	0	11	0	0
5	1224	14	20	18	0	0	14	0	0
6	316	1	10	10	100	30.0	1	0	0
7	427	2	20	20	100	25.0	12	0	0
8	1764	7	20	18	0	0	14	0	0
9	757	2	11	9	100	27.5	6	100	24.5
10	487	2	20	20	100	20.0	13	0	0
11	586	15	9	9	0	0	5	0	0
12	1335	12	20	20	0	0	15	0	0
13	914	5	14	14	0	0	9	0	0
14	709	1	20	20	100	100.0	0	0	0
15	899	1	20	20	100	70.0	1	0	0
16	1116	1	20	20	100	50.0	7	0	0
17	1799	3	20	20	100	61.666666666666664	13	100	61.0
18	1921	4	20	20	100	80.0	10	100	60.0
19	1916	10	20	20	100	100.0	4	100	100.0
20	1925	12	20	20	100	95.0	8	100	87.0
21	1970	8	20	20	100	70.0	14	100	57.0
22	1901	1	20	20	100	85.0	14	100	78.0
23	1917	5	20	20	100	95.0	14	100	92.0
24	1900	4	20	20	100	100.0	5	100	100.0
25	1940	13	20	20	100	95.0	2	100	100.0
26	1956	7	20	20	100	85.0	10	100	80.0
27	1637	6	20	20	100	75.0	16	100	87.0
28	430	4	10	10	100	100.0	0	0	0
29	944	3	20	20	100	100.0	0	0	0
30	931	3	20	20	100	100.0	0	0	0
31	960	9	20	20	100	100.0	0	0	0
32	968	3	20	20	100	70.0	0	0	0
33	942	1	20	20	100	55.0	5	100	20.0
34	1010	2	20	20	100	20.0	4	100	50.0
35	1021	3	20	20	100	10.0	3	0	0
36	1715	2	20	20	100	5.0	9	0	0
37	1932	10	20	20	0	0	4	0	0
38	1924	18	20	20	0	0	8	0	0
39	1917	3	20	20	100	5.0	6	100	16.0
40	1911	7	20	20	100	5.0	8	100	12.0
41	1925	3	20	20	100	5.0	5	100	20.0
42	1935	8	20	20	100	5.0	10	100	10.0
43	1916	4	20	20	0	0	9	0	0
44	1940	8	20	20	0	0	6	0	0
45	1924	8	20	20	0	0	7	0	0
46	1932	13	20	20	0	0	13	0	0
47	1893	2	20	20	100	5.0	9	100	11.0
48	1908	13	20	20	0	0	9	0	0
49	1925	2	20	20	100	5.0	7	100	14.0
50	1916	11	20	20	0	0	14	0	0
51	1918	2	20	20	100	10.0	6	100	33.0
52	1843	10	20	20	0	0	8	0	0
53	1916	10	20	20	100	5.0	7	100	14.0
54	1865	280	20	20	0	0	3	0	0
55	1753	9	20	20	0	0	9	0	0
56	1693	4	20	20	100	10.0	8	100	25.0
57	1587	6	20	20	100	5.0	9	100	11.0
58	1510	17	20	20	0	0	7	0	0
59	1339	8	20	20	100	5.0	6	100	16.0
60	1335	6	20	20	100	5.0	8	100	12.0
61	1304	5	20	20	100	70.0	5	100	80.0
62	1096	6	20	20	100	80.0	9	100	100.0
63	835	4	20	20	100	45.0	0	0	0
64	979	5	20	20	100	100.0	0	0	0
65	933	2	20	20	100	100.0	0	0	0
66	503	1	11	11	100	100.0	0	0	0
67	644	12	20	20	100	35.0	14	100	35.0
68	1288	10	20	20	100	70.0	9	100	66.0
69	904	3	20	20	100	50.0	13	100	46.0
70	920	7	20	20	100	50.0	17	100	41.0
71	1533	5	20	20	100	85.0	14	100	78.0
72	1821	6	20	20	100	85.0	9	100	88.0
73	1148	6	20	18	100	11.0	9	100	11.0
74	251	7	9	9	100	11.0	0	0	0
75	1002	1	20	20	100	20.0	8	100	12.0
76	1362	1	20	20	100	15.0	2	0	0
77	1190	3	20	20	100	25.0	0	0	0
78	1335	3	20	20	100	10.0	3	100	33.0
79	1269	5	20	20	100	15.0	2	0	0
80	1176	1	20	20	100	15.0	3	0	0
81	1465	9	20	20	0	0	10	0	0
82	1355	1	20	20	100	5.0	5	0	0
83	1267	2	20	20	100	5.0	4	0	0
84	1291	1	20	20	100	35.0	7	0	0
85	1705	2	20	20	100	5.0	5	100	20.0
86	1603	8	20	20	100	5.0	11	100	9.0
87	1780	13	20	20	0	0	4	0	0
88	1764	7	20	20	0	0	5	0	0
89	1706	4	20	20	100	5.0	6	0	0
90	1780	17	20	20	0	0	8	0	0
91	1773	2	20	20	100	5.0	8	100	12.0
92	1768	8	20	20	100	10.0	5	100	40.0
93	1720	9	20	20	0	0	5	0	0
94	1716	10	20	20	0	0	10	0	0
95	1760	3	20	20	100	5.0	7	100	14.0
96	1703	5	20	20	100	15.0	9	100	33.0
97	1772	9	20	20	0	0	10	0	0
98	1757	7	20	20	100	5.0	13	100	7.0
99	1764	12	20	20	0	0	12	0	0
100	1780	13	20	20	0	0	5	0	0
101	1759	1	20	20	100	5.0	12	100	8.0
102	1932	12	20	20	0	0	9	0	0
103	1811	12	20	20	0	0	12	0	0
104	1354	3	20	20	100	20.0	12	100	16.0
105	147	3	3	3	100	33.0	0	0	0
106	40	9	20	20	0	0	9	0	0
107	1940	8	20	20	100	95.0	6	100	100.0
108	1917	7	20	20	100	65.0	10	100	50.0
109	1769	4	20	20	100	57.5	11	100	76.5
110	1209	1	20	20	100	95.0	5	100	80.0
111	1080	2	20	20	100	100.0	0	0	0
112	1232	2	20	20	100	100.0	0	0	0
113	65	1	1	1	100	100.0	0	0	0
114	1204	1	20	20	100	15.0	12	0	0
115	243	11	14	14	27	7.0	8	27	12.0
116	626	1	20	20	100	100.0	0	0	0
117	788	1	20	20	100	55.0	0	0	0
118	1612	8	20	20	0	0	13	0	0
119	1764	4	20	20	0	0	13	0	0
120	1772	10	20	20	0	0	11	0	0
121	1733	2	20	20	100	5.0	12	100	8.0
122	1740	14	20	20	0	0	18	0	0
123	1764	9	20	20	0	0	16	0	0
124	1722	4	20	20	100	10.0	11	100	18.0
125	1594	10	20	18	0	0	12	0	0
126	923	1	20	20	100	45.0	5	0	0
127	231	1	7	7	100	100.0	0	0	0
128	880	4	20	20	100	100.0	0	0	0
129	1286	3	20	20	0	0	13	0	0
130	1763	9	20	20	100	5.0	14	100	7.0
131	1742	3	20	20	100	10.0	8	100	25.0
132	1719	2	20	20	100	15.0	14	100	21.0
133	1741	4	20	20	100	5.0	9	100	11.0
134	1765	4	20	20	100	5.0	14	100	7.0
135	1441	3	20	20	100	20.0	9	100	44.0
136	804	1	17	17	100	17.0	1	0	0
137	648	1	20	20	100	25.0	12	0	0
138	1552	12	20	18	0	0	10	0	0
139	52	11	1	1	0	0	1	0	0
140	307	7	20	18	0	0	15	0	0
141	707	3	10	10	100	100.0	5	100	100.0
142	284	11	16	14	0	0	10	0	0
143	1111	3	20	20	100	5.0	14	0	0
144	1376	8	20	20	0	0	16	0	0
145	748	7	18	18	0	0	4	0	0
146	759	2	20	20	100	42.5	3	100	66.0
147	1546	5	20	20	100	10.0	12	100	16.0
148	1691	9	20	20	0	0	10	0	0
149	1772	8	20	20	0	0	15	0	0
150	1251	2	20	20	100	70.0	9	100	66.0
151	366	1	6	6	100	100.0	0	0	0
152	504	1	20	20	100	100.0	0	0	0
153	1052	2	20	20	100	100.0	2	100	100.0
154	977	1	20	20	100	30.0	6	100	16.0
155	1461	3	20	20	100	5.0	11	0	0
156	1561	2	20	20	100	5.0	12	0	0
157	1612	16	20	20	0	0	10	0	0
158	1604	11	20	20	0	0	9	0	0
159	1572	14	20	20	100	10.0	12	100	16.0
160	1602	5	20	20	100	5.0	10	100	10.0
161	1361	8	20	20	0	0	12	0	0
162	1539	7	20	18	0	0	10	0	0
163	1563	7	20	20	0	0	12	0	0
164	986	8	20	20	0	0	3	0	0
165	832	2	20	20	100	30.0	0	0	0
166	825	1	20	20	100	100.0	0	0	0
167	641	3	14	14	100	100.0	0	0	0
168	648	3	20	20	100	18.333333333333332	14	100	7.0
169	1925	1	20	20	100	5.0	15	100	6.0
170	1849	10	20	20	0	0	13	0	0
171	544	4	10	10	100	20.0	4	0	0
172	1056	1	20	20	100	80.0	5	100	40.0
173	1895	8	20	20	100	5.0	7	100	14.0
174	1746	4	20	20	0	0	9	0	0
175	1439	9	20	20	0	0	15	0	0
176	835	2	19	19	100	26.0	7	0	0
177	964	3	20	20	100	100.0	0	0	0
178	938	1	20	20	100	100.0	0	0	0
179	903	1	20	20	100	100.0	0	0	0
