ID	HighScore	NoOfUsersWithHighScore	NoOfReadsinPuzzle	NoOfUsableReadsinPuzzle	UserPercentDifferntToBWA	MeanPercentOfReadsDifferent
2	813	7	20	20	0	0
3	1503	6	20	20	0	0
4	1620	12	20	20	0	0
5	1224	16	20	18	0	0
6	316	1	10	10	100	30.0
7	427	2	20	20	100	25.0
8	1764	8	20	18	0	0
9	758	4	11	9	100	33.0
10	487	3	20	20	100	20.0
11	586	16	9	9	0	0
12	1335	13	20	20	0	0
13	914	5	14	14	0	0
14	709	1	20	20	100	100.0
15	902	2	20	20	100	70.0
16	1116	2	20	20	100	50.0
17	1799	4	20	20	100	62.5
18	1921	5	20	20	100	80.0
19	1916	11	20	20	100	100.0
20	1925	12	20	20	100	95.0
21	1970	12	20	20	100	70.0
22	1901	1	20	20	100	85.0
23	1917	7	20	20	100	95.0
24	1900	4	20	20	100	100.0
25	1940	13	20	20	100	95.0
26	1956	7	20	20	100	85.0
27	1637	7	20	20	100	75.0
28	430	4	10	10	100	100.0
29	944	3	20	20	100	100.0
30	931	3	20	20	100	100.0
31	960	9	20	20	100	100.0
32	968	3	20	20	100	70.0
33	948	1	20	20	100	20.0
34	1010	2	20	20	100	20.0
35	1021	4	20	20	100	10.0
36	1715	2	20	20	100	5.0
37	1932	12	20	20	0	0
38	1924	18	20	20	0	0
39	1917	3	20	20	100	5.0
40	1911	7	20	20	100	5.0
41	1925	4	20	20	100	5.0
42	1935	10	20	20	100	5.0
43	1916	4	20	20	0	0
44	1940	9	20	20	0	0
45	1924	9	20	20	0	0
46	1932	13	20	20	0	0
47	1893	2	20	20	100	5.0
48	1908	13	20	20	0	0
49	1925	4	20	20	100	5.0
50	1916	12	20	20	0	0
51	1918	2	20	20	100	10.0
52	1843	10	20	20	0	0
53	1916	10	20	20	100	5.0
54	1865	281	20	20	0	0
55	1753	9	20	20	0	0
56	1693	4	20	20	100	10.0
57	1587	7	20	20	100	5.0
58	1510	18	20	20	0	0
59	1339	9	20	20	100	5.0
60	1335	6	20	20	100	5.0
61	1304	6	20	20	100	70.0
62	1096	6	20	20	100	80.0
63	835	4	20	20	100	45.0
64	979	5	20	20	100	100.0
65	933	2	20	20	100	100.0
66	503	1	11	11	100	100.0
