Iteration	Day	Players
1 	1 	12.5
1 	2 	134.116666667
1 	3 	389.833333333
1 	4 	912.65
1 	5 	1770.73333333
1 	6 	2351.4
1 	7 	2022.26666667
1 	8 	1775.43333333
1 	9 	1582.96666667
1 	10 	1022.83333333
1 	11 	704.916666667
1 	12 	521.35
1 	13 	412.633333333
1 	14 	345.95
1 	15 	303.116666667
1 	16 	274.033333333
1 	17 	253.05
1 	18 	237.016666667
1 	19 	224.1
1 	20 	213.266666667
1 	21 	203.883333333
1 	22 	195.566666667
1 	23 	188.083333333
1 	24 	181.283333333
1 	25 	175.033333333
1 	26 	169.266666667
1 	27 	163.916666667
1 	28 	158.95
1 	29 	154.3
1 	30 	149.95
1 	31 	145.866666667
1 	32 	142.016666667
1 	33 	138.4
1 	34 	134.966666667
1 	35 	131.733333333
1 	36 	128.666666667
1 	37 	125.75
1 	38 	122.983333333
1 	39 	120.333333333
1 	40 	117.833333333
1 	41 	115.433333333
1 	42 	113.133333333
1 	43 	110.95
1 	44 	108.85
1 	45 	106.833333333
1 	46 	104.916666667
1 	47 	103.066666667
1 	48 	101.283333333
1 	49 	99.5666666667
1 	50 	97.9166666667
1 	51 	96.3333333333
1 	52 	94.8
1 	53 	93.3166666667
1 	54 	91.9
1 	55 	90.5166666667
1 	56 	89.1833333333
1 	57 	87.9
1 	58 	86.65
1 	59 	85.4333333333
1 	60 	84.2666666667
1 	61 	83.1333333333
1 	62 	82.0333333333
1 	63 	80.9666666667
1 	64 	79.9166666667
1 	65 	78.9166666667
1 	66 	77.9333333333
1 	67 	76.9833333333
1 	68 	76.05
1 	69 	75.15
1 	70 	74.2833333333
1 	71 	73.4166666667
1 	72 	72.5833333333
1 	73 	71.7666666667
1 	74 	70.9833333333
1 	75 	70.2166666667
1 	76 	69.45
1 	77 	68.7166666667
1 	78 	68.0
1 	79 	67.3
1 	80 	66.6166666667
1 	81 	65.95
1 	82 	65.2833333333
1 	83 	64.65
1 	84 	64.0333333333
1 	85 	63.4166666667
1 	86 	62.8166666667
1 	87 	62.2333333333
1 	88 	61.65
1 	89 	61.0833333333
1 	90 	60.5333333333
1 	91 	60.0
1 	92 	59.4666666667
1 	93 	58.95
1 	94 	58.45
1 	95 	57.95
1 	96 	57.45
1 	97 	56.9833333333
1 	98 	56.5
1 	99 	56.05
1 	100 	55.5833333333
1 	101 	55.15
1 	102 	54.7
1 	103 	54.2833333333
1 	104 	53.85
1 	105 	53.45
1 	106 	53.0333333333
1 	107 	52.6333333333
1 	108 	52.2333333333
1 	109 	51.85
1 	110 	51.4666666667
1 	111 	51.1
1 	112 	50.7333333333
1 	113 	50.3666666667
1 	114 	50.0166666667
1 	115 	49.6666666667
1 	116 	49.3166666667
1 	117 	48.9833333333
1 	118 	48.65
1 	119 	48.3166666667
1 	120 	47.9833333333
1 	121 	47.6666666667
1 	122 	47.35
1 	123 	47.05
1 	124 	46.7333333333
1 	125 	46.4333333333
1 	126 	46.15
1 	127 	45.85
1 	128 	45.5666666667
1 	129 	45.2833333333
1 	130 	45.0
1 	131 	44.7166666667
1 	132 	44.45
1 	133 	44.1833333333
1 	134 	43.9166666667
1 	135 	43.65
1 	136 	43.4
1 	137 	43.15
1 	138 	42.9
1 	139 	42.65
1 	140 	42.4
1 	141 	42.1666666667
1 	142 	41.9166666667
1 	143 	41.6833333333
1 	144 	41.45
1 	145 	41.2333333333
1 	146 	41.0
1 	147 	40.7833333333
1 	148 	40.55
1 	149 	40.3333333333
1 	150 	40.1166666667
1 	151 	39.9166666667
1 	152 	39.7
1 	153 	39.5
1 	154 	39.2833333333
1 	155 	39.0833333333
1 	156 	38.8833333333
1 	157 	38.6833333333
1 	158 	38.4833333333
1 	159 	38.3
1 	160 	38.1
1 	161 	37.9166666667
