Iteration	Day	Players
1 	1 	12.5
1 	2 	134.116666667
1 	3 	82.4666666667
1 	4 	55.4166666667
1 	5 	204.15
1 	6 	135.45
1 	7 	95.7
1 	8 	72.1
1 	9 	57.6
1 	10 	193.4
1 	11 	131.45
1 	12 	95.85
1 	13 	74.9
1 	14 	153.966666667
1 	15 	109.916666667
1 	16 	84.4833333333
1 	17 	69.4166666667
1 	18 	60.1166666667
1 	19 	54.1
1 	20 	49.95
1 	21 	46.9
1 	22 	44.5166666667
1 	23 	42.55
1 	24 	40.8666666667
1 	25 	39.3833333333
1 	26 	38.05
1 	27 	36.8166666667
1 	28 	70.1166666667
1 	29 	54.6666666667
1 	30 	45.7666666667
1 	31 	40.4666666667
1 	32 	37.1666666667
1 	33 	34.9833333333
1 	34 	33.45
1 	35 	32.2833333333
1 	36 	40.4166666667
1 	37 	35.75
1 	38 	32.9
1 	39 	31.0666666667
1 	40 	29.8
1 	41 	28.85
1 	42 	30.0
1 	43 	28.55
1 	44 	27.5333333333
1 	45 	26.7666666667
1 	46 	26.15
1 	47 	25.6
1 	48 	25.1166666667
1 	49 	24.6666666667
1 	50 	24.25
1 	51 	23.85
1 	52 	23.4666666667
1 	53 	23.1
1 	54 	22.75
1 	55 	22.4
1 	56 	22.3166666667
1 	57 	21.8833333333
1 	58 	21.5166666667
1 	59 	21.15
1 	60 	20.85
1 	61 	20.5666666667
1 	62 	20.3
1 	63 	20.0333333333
1 	64 	19.7833333333
1 	65 	19.5333333333
1 	66 	19.2833333333
1 	67 	19.05
1 	68 	18.8166666667
1 	69 	18.6
1 	70 	18.3833333333
1 	71 	18.1666666667
1 	72 	17.9666666667
1 	73 	17.7666666667
1 	74 	17.5666666667
1 	75 	17.3833333333
1 	76 	17.1833333333
1 	77 	17.0
1 	78 	16.8333333333
1 	79 	16.65
1 	80 	16.4833333333
1 	81 	16.3166666667
1 	82 	16.1666666667
1 	83 	16.0
1 	84 	15.85
1 	85 	15.7
1 	86 	15.55
1 	87 	15.4
1 	88 	15.25
1 	89 	15.1166666667
1 	90 	14.9833333333
1 	91 	14.85
1 	92 	14.7166666667
1 	93 	14.5833333333
1 	94 	14.4666666667
1 	95 	14.3333333333
1 	96 	14.2166666667
1 	97 	14.1
1 	98 	13.9833333333
1 	99 	13.8666666667
1 	100 	13.75
1 	101 	13.65
1 	102 	13.5333333333
1 	103 	13.4333333333
1 	104 	13.3333333333
1 	105 	13.2333333333
1 	106 	13.1166666667
1 	107 	13.0333333333
1 	108 	12.9333333333
1 	109 	12.8333333333
1 	110 	12.7333333333
1 	111 	12.65
1 	112 	12.55
1 	113 	12.4666666667
1 	114 	12.3833333333
1 	115 	12.2833333333
1 	116 	12.2
1 	117 	12.1166666667
1 	118 	12.0333333333
1 	119 	11.95
1 	120 	11.8833333333
1 	121 	11.8
1 	122 	11.7166666667
1 	123 	11.65
1 	124 	11.5666666667
1 	125 	11.5
1 	126 	11.4166666667
1 	127 	11.35
1 	128 	11.2833333333
1 	129 	11.2
1 	130 	11.1333333333
1 	131 	11.0666666667
1 	132 	11.0
1 	133 	10.9333333333
1 	134 	10.8666666667
1 	135 	10.8
1 	136 	10.7333333333
1 	137 	10.6833333333
1 	138 	10.6166666667
1 	139 	10.55
1 	140 	10.5
1 	141 	10.4333333333
1 	142 	10.3833333333
1 	143 	10.3166666667
1 	144 	10.2666666667
1 	145 	10.2
1 	146 	10.15
1 	147 	10.0833333333
1 	148 	10.0333333333
1 	149 	9.98333333333
1 	150 	9.93333333333
1 	151 	9.88333333333
1 	152 	9.81666666667
1 	153 	9.76666666667
1 	154 	9.71666666667
1 	155 	9.66666666667
1 	156 	9.61666666667
1 	157 	9.56666666667
1 	158 	9.53333333333
1 	159 	9.48333333333
1 	160 	9.43333333333
