week	nthWeek	dayOfWeek	dayOfWeekName	sessions
34	0001	0	Sunday	1119
35	0002	0	Sunday	809
36	0003	0	Sunday	400
37	0004	0	Sunday	242
38	0005	0	Sunday	227
39	0006	0	Sunday	177
40	0007	0	Sunday	142
41	0008	0	Sunday	118
42	0009	0	Sunday	123
43	0010	0	Sunday	140
44	0011	0	Sunday	84
45	0012	0	Sunday	88
46	0013	0	Sunday	972
47	0014	0	Sunday	142
48	0015	0	Sunday	87
49	0016	0	Sunday	75
50	0017	0	Sunday	70
51	0018	0	Sunday	62
52	0019	0	Sunday	46
53	0020	0	Sunday	32
02	0021	0	Sunday	71
03	0022	0	Sunday	50
04	0023	0	Sunday	45
05	0024	0	Sunday	215
06	0025	0	Sunday	72
07	0026	0	Sunday	63
08	0027	0	Sunday	78
09	0028	0	Sunday	41
10	0029	0	Sunday	41
11	0030	0	Sunday	60
12	0031	0	Sunday	54
13	0032	0	Sunday	44
14	0033	0	Sunday	32
15	0034	0	Sunday	38
16	0035	0	Sunday	39
17	0036	0	Sunday	43
18	0037	0	Sunday	51
19	0038	0	Sunday	32
20	0039	0	Sunday	31
21	0040	0	Sunday	39
22	0041	0	Sunday	37
23	0042	0	Sunday	30
24	0043	0	Sunday	36
25	0044	0	Sunday	36
26	0045	0	Sunday	49
27	0046	0	Sunday	31
28	0047	0	Sunday	43
29	0048	0	Sunday	24
30	0049	0	Sunday	22
31	0050	0	Sunday	29
32	0051	0	Sunday	30
33	0000	1	Monday	27
34	0001	1	Monday	1095
35	0002	1	Monday	711
36	0003	1	Monday	409
37	0004	1	Monday	297
38	0005	1	Monday	197
39	0006	1	Monday	427
40	0007	1	Monday	174
41	0008	1	Monday	139
42	0009	1	Monday	123
43	0010	1	Monday	172
44	0011	1	Monday	119
45	0012	1	Monday	118
46	0013	1	Monday	345
47	0014	1	Monday	147
48	0015	1	Monday	81
49	0016	1	Monday	94
50	0017	1	Monday	91
51	0018	1	Monday	72
52	0019	1	Monday	51
53	0020	1	Monday	58
02	0021	1	Monday	62
03	0022	1	Monday	61
04	0023	1	Monday	49
05	0024	1	Monday	163
06	0025	1	Monday	75
07	0026	1	Monday	59
08	0027	1	Monday	92
09	0028	1	Monday	47
10	0029	1	Monday	57
11	0030	1	Monday	49
12	0031	1	Monday	65
13	0032	1	Monday	59
14	0033	1	Monday	37
15	0034	1	Monday	43
16	0035	1	Monday	36
17	0036	1	Monday	46
18	0037	1	Monday	37
19	0038	1	Monday	53
20	0039	1	Monday	52
21	0040	1	Monday	44
22	0041	1	Monday	56
23	0042	1	Monday	39
24	0043	1	Monday	44
25	0044	1	Monday	29
26	0045	1	Monday	58
27	0046	1	Monday	42
28	0047	1	Monday	37
29	0048	1	Monday	34
30	0049	1	Monday	26
31	0050	1	Monday	34
32	0051	1	Monday	28
33	0000	2	Tuesday	7247
34	0001	2	Tuesday	1186
35	0002	2	Tuesday	665
36	0003	2	Tuesday	371
37	0004	2	Tuesday	254
38	0005	2	Tuesday	184
39	0006	2	Tuesday	239
40	0007	2	Tuesday	181
41	0008	2	Tuesday	131
42	0009	2	Tuesday	116
43	0010	2	Tuesday	140
44	0011	2	Tuesday	84
45	0012	2	Tuesday	155
46	0013	2	Tuesday	243
47	0014	2	Tuesday	112
48	0015	2	Tuesday	83
49	0016	2	Tuesday	89
50	0017	2	Tuesday	71
51	0018	2	Tuesday	75
52	0019	2	Tuesday	37
53	0020	2	Tuesday	60
02	0021	2	Tuesday	63
03	0022	2	Tuesday	63
04	0023	2	Tuesday	45
05	0024	2	Tuesday	104
06	0025	2	Tuesday	74
07	0026	2	Tuesday	73
08	0027	2	Tuesday	58
09	0028	2	Tuesday	58
10	0029	2	Tuesday	52
11	0030	2	Tuesday	70
12	0031	2	Tuesday	49
13	0032	2	Tuesday	56
14	0033	2	Tuesday	42
15	0034	2	Tuesday	48
