daysSinceLastSession	sessions	users
98	5	5
96	1	1
95	3	3
94	2	2
93	2	2
92	2	2
91	4	4
90	1	1
9	177	161
89	6	5
88	2	2
87	2	2
86	2	2
85	4	4
84	5	5
83	5	5
82	4	4
81	3	3
80	3	3
8	174	167
79	2	2
78	4	4
76	4	4
75	4	4
74	7	7
73	5	5
72	5	5
71	3	3
70	6	6
7	217	204
69	5	5
68	5	5
67	6	6
66	6	6
65	5	4
64	6	6
63	4	4
62	6	6
61	6	6
60	9	8
6	338	311
59	6	6
58	8	8
57	7	7
56	12	12
55	10	10
54	10	9
53	10	10
52	9	9
51	9	8
50	5	5
5	410	374
49	10	10
48	11	11
47	11	11
46	9	9
45	13	13
44	14	14
43	16	16
42	11	11
41	17	17
40	16	16
4	509	445
39	18	18
38	17	17
37	16	16
36	12	12
35	21	21
34	17	17
33	15	15
32	21	21
31	19	19
30	28	27
3	733	603
29	39	39
28	28	28
277	1	1
27	39	39
26	37	35
25	36	35
24	52	51
23	61	60
22	63	62
21	65	64
20	63	63
2	1338	945
19	67	66
180	2	2
18	52	51
179	1	1
176	2	2
175	1	1
174	2	2
173	1	1
17	51	51
169	2	2
167	1	1
165	1	1
164	1	1
163	2	2
16	84	82
156	3	2
153	1	1
152	3	3
151	1	1
150	1	1
15	95	90
147	2	2
145	1	1
143	1	1
142	1	1
141	3	3
14	101	97
139	1	1
138	1	1
137	1	1
135	1	1
133	1	1
131	2	2
13	105	103
126	1	1
123	1	1
122	1	1
121	4	4
12	100	98
119	1	1
118	1	1
117	3	3
116	1	1
114	1	1
113	4	4
111	2	2
110	2	2
11	111	108
109	3	3
108	1	1
106	2	2
105	3	2
104	2	2
102	3	3
101	1	1
100	2	2
10	118	114
1	2990	1739
0	54247	27390
