month	nthMonth	hour	sessions
08	0000	00	1013
09	0001	00	277
10	0002	00	144
11	0003	00	177
12	0004	00	85
01	0005	00	78
02	0006	00	66
03	0007	00	43
04	0008	00	31
05	0009	00	37
06	0010	00	26
07	0011	00	25
08	0012	00	2
08	0000	01	647
09	0001	01	166
10	0002	01	75
11	0003	01	87
12	0004	01	30
01	0005	01	36
02	0006	01	36
03	0007	01	19
04	0008	01	18
05	0009	01	15
06	0010	01	11
07	0011	01	11
08	0012	01	2
08	0000	02	595
09	0001	02	145
10	0002	02	76
11	0003	02	98
12	0004	02	20
01	0005	02	24
02	0006	02	29
03	0007	02	24
04	0008	02	14
05	0009	02	21
06	0010	02	20
07	0011	02	5
08	0012	02	0
08	0000	03	563
09	0001	03	136
10	0002	03	67
11	0003	03	63
12	0004	03	20
01	0005	03	16
02	0006	03	23
03	0007	03	17
04	0008	03	25
05	0009	03	15
06	0010	03	15
07	0011	03	8
08	0012	03	1
08	0000	04	482
09	0001	04	108
10	0002	04	55
11	0003	04	46
12	0004	04	16
01	0005	04	20
02	0006	04	26
03	0007	04	20
04	0008	04	8
05	0009	04	18
06	0010	04	14
07	0011	04	9
08	0012	04	2
08	0000	05	491
09	0001	05	121
10	0002	05	38
11	0003	05	46
12	0004	05	19
01	0005	05	23
02	0006	05	11
03	0007	05	13
04	0008	05	18
05	0009	05	12
06	0010	05	18
07	0011	05	11
08	0012	05	2
08	0000	06	745
09	0001	06	161
10	0002	06	78
11	0003	06	43
12	0004	06	24
01	0005	06	26
02	0006	06	28
03	0007	06	20
04	0008	06	38
05	0009	06	23
06	0010	06	28
07	0011	06	17
08	0012	06	2
08	0000	07	1120
09	0001	07	281
10	0002	07	131
11	0003	07	59
12	0004	07	22
01	0005	07	27
02	0006	07	26
03	0007	07	29
04	0008	07	45
05	0009	07	22
06	0010	07	20
07	0011	07	18
08	0012	07	4
08	0000	08	1334
09	0001	08	283
10	0002	08	167
11	0003	08	121
12	0004	08	54
01	0005	08	65
02	0006	08	65
03	0007	08	57
04	0008	08	70
05	0009	08	67
06	0010	08	57
07	0011	08	45
08	0012	08	4
08	0000	09	1334
09	0001	09	269
10	0002	09	173
11	0003	09	148
12	0004	09	104
01	0005	09	95
02	0006	09	95
03	0007	09	73
04	0008	09	57
05	0009	09	57
06	0010	09	50
07	0011	09	40
08	0012	09	6
