screenResolution	sessions
1366x768	20509
1920x1080	7779
1280x800	6198
1280x1024	4676
1600x900	3673
1440x900	3567
1680x1050	2805
1024x600	1919
1920x1200	1733
1024x768	1704
1360x768	1210
960x600	1189
1280x720	472
1536x864	438
2560x1440	370
768x1024	369
1600x1200	367
1280x768	363
720x1280	289
1152x864	198
1525x858	190
1280x960	174
480x800	150
1252x704	124
1280x750	111
320x480	103
360x640	90
1708x960	79
1093x614	67
1344x840	58
1138x640	57
1400x1050	55
601x906	55
1600x1000	51
600x1024	49
800x1280	49
800x600	47
1280x752	41
1080x1920	39
2560x1600	39
1152x720	38
2048x1152	38
1467x825	37
540x960	37
1024x819	33
1429x893	33
1639x922	33
1787x1005	33
320x568	32
1760x990	31
1173x733	30
360x592	27
1143x858	26
1320x825	25
384x592	24
533x853	22
1024x640	21
320x534	21
1776x1000	20
962x553	20
1143x670	19
1429x1143	19
1540x963	19
800x480	18
1600x1280	17
853x533	16
0x0	15
1536x922	15
1333x1000	14
1680x945	14
1067x600	13
1173x939	13
1536x960	13
534x854	13
960x540	13
1301x731	12
1438x808	12
1608x1005	12
1040x1463	11
1040x1547	11
1600x1024	11
2000x1125	11
768x1280	11
1200x1920	10
1200x750	10
1360x1024	10
480x854	10
800x1232	10
819x614	10
854x534	10
1040x1339	9
1040x1469	9
1333x750	9
1376x860	9
1518x853	9
1519x858	9
1536x900	9
320x454	9
1024x614	8
1040x1303	8
1664x1040	8
1768x992	8
1047x589	7
1120x700	7
1188x668	7
1344x756	7
1376x774	7
1400x875	7
1472x828	7
1696x954	7
600x976	7
1040x1584	6
1088x614	6
1290x968	6
1440x810	6
1468x860	6
1536x1152	6
1571x883	6
1800x1125	6
2144x1206	6
320x490	6
480x320	6
600x912	6
640x360	6
720x1184	6
1040x1109	5
1080x1776	5
1131x905	5
1207x678	5
1429x858	5
1506x941	5
1824x1026	5
2293x1290	5
480x782	5
800x1205	5
1024x1280	4
1040x1506	4
1040x1538	4
1040x1733	4
1184x666	4
1242x698	4
1364x768	4
1365x1024	4
1391x783	4
1408x792	4
1429x804	4
1484x928	4
1821x1024	4
2049x1152	4
2100x1313	4
320x401	4
893x670	4
939x550	4
939x704	4
1024x576	3
1024x720	3
1024x792	3
1040x1417	3
1040x1420	3
1040x1479	3
1040x1541	3
1040x1563	3
1040x572	3
1067x800	3
1109x887	3
1200x1600	3
1227x690	3
1382x1037	3
1421x800	3
1760x1100	3
1876x1173	3
1958x1101	3
2133x1200	3
2560x1504	3
343x571	3
842x474	3
853x683	3
911x512	3
1018x763	2
1020x576	2
1024x552	2
1025x576	2
1040x1153	2
1040x1297	2
1040x1375	2
1040x1465	2
1040x1473	2
1040x1508	2
1040x1539	2
1040x1560	2
1040x1586	2
1040x1589	2
1040x522	2
1050x1680	2
1056x792	2
1109x666	2
1147x645	2
1216x690	2
1229x922	2
1247x704	2
1260x788	2
1283x963	2
1360x765	2
1414x794	2
1468x1101	2
1472x883	2
1472x920	2
1504x846	2
1707x960	2
1728x1080	2
1840x1035	2
1842x1036	2
1932x1208	2
2048x1536	2
2144x1340	2
234x279	2
2560x1024	2
3200x1200	2
320x570	2
384x640	2
534x320	2
540x888	2
568x320	2
598x360	2
800x1200	2
853x640	2
905x678	2
922x691	2
960x552	2
960x768	2
1000x750	1
1004x576	1
1012x569	1
1024x700	1
1033x826	1
1037x778	1
1040x1101	1
1040x1295	1
1040x1301	1
1040x1302	1
1040x1304	1
1040x1310	1
1040x1326	1
1040x1329	1
1040x1385	1
1040x1391	1
1040x1459	1
1040x1510	1
1040x1532	1
1040x1535	1
1040x1537	1
1040x1543	1
1040x1576	1
1040x1608	1
1040x1625	1
1040x1650	1
1040x1651	1
1040x1652	1
1040x1729	1
1040x401	1
1040x415	1
1040x436	1
1040x459	1
1040x461	1
1040x463	1
1040x471	1
1040x490	1
1040x512	1
1040x514	1
1040x521	1
1040x528	1
1040x533	1
1040x534	1
1040x570	1
1040x693	1
1040x743	1
1043x1739	1
1050x788	1
1067x667	1
1067x853	1
1072x670	1
1090x681	1
1103x621	1
1104x690	1
1120x840	1
1152x870	1
1164x931	1
1170x658	1
1170x936	1
1173x660	1
1173x704	1
1173x880	1
1176x664	1
1191x670	1
1195x717	1
1200x1848	1
1206x2144	1
1229x691	1
1229x983	1
1231x692	1
1239x697	1
1252x783	1
1280x736	1
1280x850	1
1280x854	1
1288x805	1
1296x810	1
1301x813	1
1366x806	1
1366x854	1
1368x768	1
1368x769	1
1371x771	1
1402x877	1
1413x795	1
1429x1072	1
1436x1077	1
1455x818	1
1473x827	1
1589x894	1
1600x960	1
1607x904	1
1619x910	1
1638x922	1
1666x937	1
1670x939	1
1700x960	1
1707x1067	1
1725x970	1
1728x972	1
1750x1313	1
1755x987	1
1778x1000	1
1835x1032	1
1842x1026	1
1843x1152	1
1920x957	1
218x273	1
2277x1280	1
2391x1344	1
2400x1500	1
2752x1548	1
2859x1608	1
290x309	1
313x327	1
320x240	1
320x452	1
320x455	1
320x522	1
320x533	1
330x549	1
342x487	1
347x347	1
4044x1024	1
4267x2667	1
480x241	1
480x266	1
480x295	1
480x640	1
571x343	1
5760x1080	1
598x384	1
600x904	1
640x480	1
720x1230	1
768x1366	1
800x1065	1
800x1130	1
800x1220	1
800x444	1
848x411	1
853x491	1
854x480	1
888x555	1
900x1440	1
917x734	1
960x640	1
979x550	1
983x737	1
991x793	1
