date	userType	sessions	users	sessionDuration	avgSessionDuration
20130812	New Visitor	17	17	10101.0	594.1764705882352
20130813	New Visitor	5647	5647	5075971.0	898.8792279086241
20130814	New Visitor	1950	1950	1529832.0	784.5292307692308
20130815	New Visitor	1147	1147	1118433.0	975.0941586748038
20130816	New Visitor	752	752	598002.0	795.2154255319149
20130817	New Visitor	460	460	459669.0	999.2804347826087
20130818	New Visitor	430	430	407435.0	947.5232558139535
20130819	New Visitor	466	466	375660.0	806.137339055794
20130820	New Visitor	549	549	454363.0	827.6193078324226
20130821	New Visitor	4072	4072	3822486.0	938.7244597249509
20130822	New Visitor	1343	1343	1300315.0	968.2166790766939
20130823	New Visitor	458	458	419827.0	916.6528384279476
20130824	New Visitor	243	243	228495.0	940.3086419753087
20130825	New Visitor	230	230	210509.0	915.2565217391304
20130826	New Visitor	227	227	188791.0	831.6784140969163
20130827	New Visitor	203	203	165065.0	813.128078817734
20130828	New Visitor	225	225	201637.0	896.1644444444445
20130829	New Visitor	190	190	174154.0	916.6
20130830	New Visitor	171	171	100131.0	585.561403508772
20130831	New Visitor	110	110	90251.0	820.4636363636364
20130901	New Visitor	116	116	115711.0	997.5086206896551
20130902	New Visitor	81	81	70512.0	870.5185185185185
20130903	New Visitor	83	83	49118.0	591.7831325301205
20130904	New Visitor	81	81	71016.0	876.7407407407408
20130905	New Visitor	72	72	62446.0	867.3055555555555
20130906	New Visitor	79	79	80569.0	1019.8607594936709
20130907	New Visitor	51	51	51598.0	1011.7254901960785
20130908	New Visitor	66	66	84812.0	1285.030303030303
20130909	New Visitor	67	67	57983.0	865.4179104477612
20130910	New Visitor	54	54	34861.0	645.574074074074
20130911	New Visitor	57	57	38575.0	676.7543859649123
20130912	New Visitor	105	105	74438.0	708.9333333333333
20130913	New Visitor	88	88	83952.0	954.0
20130914	New Visitor	43	43	61673.0	1434.2558139534883
20130915	New Visitor	70	70	87704.0	1252.9142857142858
20130916	New Visitor	45	45	54457.0	1210.1555555555556
20130917	New Visitor	46	46	40864.0	888.3478260869565
20130918	New Visitor	52	52	39257.0	754.9423076923077
20130919	New Visitor	33	33	20478.0	620.5454545454545
20130920	New Visitor	40	40	39605.0	990.125
20130921	New Visitor	38	38	20806.0	547.5263157894736
20130922	New Visitor	58	58	52525.0	905.6034482758621
20130923	New Visitor	248	248	175751.0	708.6733870967741
20130924	New Visitor	86	86	39516.0	459.48837209302326
20130925	New Visitor	46	46	36127.0	785.3695652173913
20130926	New Visitor	46	46	62849.0	1366.2826086956522
20130927	New Visitor	42	42	50037.0	1191.357142857143
20130928	New Visitor	52	52	56620.0	1088.8461538461538
20130929	New Visitor	39	39	22114.0	567.025641025641
20130930	New Visitor	49	49	46335.0	945.6122448979592
20131001	New Visitor	47	47	28222.0	600.468085106383
20131002	New Visitor	48	48	39735.0	827.8125
20131003	New Visitor	47	47	46348.0	986.1276595744681
20131004	New Visitor	43	43	36860.0	857.2093023255813
20131005	New Visitor	35	35	27398.0	782.8
20131006	New Visitor	39	39	34909.0	895.1025641025641
20131007	New Visitor	39	39	62771.0	1609.5128205128206
20131008	New Visitor	39	39	26927.0	690.4358974358975
20131009	New Visitor	33	33	28233.0	855.5454545454545
20131010	New Visitor	34	34	51282.0	1508.2941176470588
20131011	New Visitor	22	22	21983.0	999.2272727272727
20131012	New Visitor	36	36	32437.0	901.0277777777778
20131013	New Visitor	25	25	32600.0	1304.0
20131014	New Visitor	39	39	48967.0	1255.5641025641025
20131015	New Visitor	32	32	37898.0	1184.3125
20131016	New Visitor	41	41	56998.0	1390.1951219512196
