sessionDurationBucket	userType	sessions
0	Returning Visitor	3011
0	New Visitor	2246
2	New Visitor	822
4	New Visitor	750
3	New Visitor	718
2	Returning Visitor	502
5	New Visitor	485
6	New Visitor	376
7	New Visitor	334
8	New Visitor	305
1	Returning Visitor	297
3	Returning Visitor	295
1	New Visitor	245
9	New Visitor	227
9	Returning Visitor	207
10	New Visitor	197
11	Returning Visitor	193
4	Returning Visitor	190
12	Returning Visitor	182
6	Returning Visitor	178
7	Returning Visitor	178
14	Returning Visitor	174
8	Returning Visitor	169
10	Returning Visitor	168
13	Returning Visitor	167
11	New Visitor	164
15	Returning Visitor	162
5	Returning Visitor	159
16	Returning Visitor	147
12	New Visitor	145
20	Returning Visitor	132
18	Returning Visitor	125
19	Returning Visitor	124
17	Returning Visitor	121
21	Returning Visitor	113
13	New Visitor	109
22	Returning Visitor	105
15	New Visitor	100
25	Returning Visitor	99
14	New Visitor	97
24	Returning Visitor	94
23	Returning Visitor	93
20	New Visitor	92
28	Returning Visitor	92
18	New Visitor	87
16	New Visitor	85
19	New Visitor	85
26	Returning Visitor	80
32	Returning Visitor	78
27	Returning Visitor	74
30	Returning Visitor	74
33	Returning Visitor	71
17	New Visitor	70
21	New Visitor	66
22	New Visitor	66
31	Returning Visitor	62
37	Returning Visitor	58
23	New Visitor	56
28	New Visitor	56
24	New Visitor	55
29	Returning Visitor	53
34	Returning Visitor	53
38	Returning Visitor	52
35	Returning Visitor	51
40	Returning Visitor	50
25	New Visitor	48
26	New Visitor	48
31	New Visitor	46
45	Returning Visitor	46
36	Returning Visitor	45
46	Returning Visitor	45
27	New Visitor	44
36	New Visitor	44
39	Returning Visitor	43
41	Returning Visitor	39
44	Returning Visitor	39
42	Returning Visitor	38
48	Returning Visitor	38
50	Returning Visitor	38
55	Returning Visitor	38
29	New Visitor	37
30	New Visitor	37
33	New Visitor	37
52	Returning Visitor	37
58	Returning Visitor	37
38	New Visitor	35
47	Returning Visitor	35
54	Returning Visitor	35
60	Returning Visitor	35
32	New Visitor	34
35	New Visitor	34
365	New Visitor	34
40	New Visitor	33
43	New Visitor	33
51	Returning Visitor	33
65	Returning Visitor	33
325	New Visitor	32
39	New Visitor	31
43	Returning Visitor	31
85	Returning Visitor	31
63	Returning Visitor	30
310	New Visitor	28
359	New Visitor	28
44	New Visitor	28
56	Returning Visitor	28
68	Returning Visitor	28
303	New Visitor	27
337	New Visitor	27
37	New Visitor	27
41	New Visitor	27
59	Returning Visitor	27
73	Returning Visitor	27
246	New Visitor	26
262	New Visitor	26
314	New Visitor	26
67	Returning Visitor	26
151	Returning Visitor	25
236	Returning Visitor	25
298	New Visitor	25
34	New Visitor	25
69	Returning Visitor	25
72	Returning Visitor	25
146	Returning Visitor	24
259	New Visitor	24
304	New Visitor	24
329	Returning Visitor	24
352	Returning Visitor	24
387	New Visitor	24
53	Returning Visitor	24
57	Returning Visitor	24
61	Returning Visitor	24
81	Returning Visitor	24
90	Returning Visitor	24
174	Returning Visitor	23
188	Returning Visitor	23
268	New Visitor	23
269	Returning Visitor	23
287	New Visitor	23
335	New Visitor	23
346	New Visitor	23
348	New Visitor	23
363	New Visitor	23
393	New Visitor	23
453	New Visitor	23
50	New Visitor	23
529	New Visitor	23
113	Returning Visitor	22
152	Returning Visitor	22
294	New Visitor	22
323	New Visitor	22
333	New Visitor	22
340	New Visitor	22
360	New Visitor	22
366	New Visitor	22
369	New Visitor	22
394	New Visitor	22
416	New Visitor	22
417	New Visitor	22
447	Returning Visitor	22
46	New Visitor	22
524	New Visitor	22
66	Returning Visitor	22
83	Returning Visitor	22
107	Returning Visitor	21
125	Returning Visitor	21
130	Returning Visitor	21
135	Returning Visitor	21
143	Returning Visitor	21
164	Returning Visitor	21
200	Returning Visitor	21
245	New Visitor	21
252	New Visitor	21
282	New Visitor	21
286	Returning Visitor	21
290	New Visitor	21
298	Returning Visitor	21
349	New Visitor	21
377	New Visitor	21
426	New Visitor	21
427	New Visitor	21
45	New Visitor	21
452	Returning Visitor	21
464	New Visitor	21
475	New Visitor	21
48	New Visitor	21
49	Returning Visitor	21
55	New Visitor	21
564	New Visitor	21
61	New Visitor	21
62	Returning Visitor	21
82	Returning Visitor	21
87	Returning Visitor	21
88	Returning Visitor	21
105	Returning Visitor	20
115	Returning Visitor	20
171	Returning Visitor	20
179	Returning Visitor	20
187	Returning Visitor	20
194	Returning Visitor	20
201	New Visitor	20
208	New Visitor	20
