date	sessions	users	newUsers	percentNewSessions	sessionDuration	avgSessionDuration
20130812	27	20	17	62.96296296296296	16498.0	611.0370370370371
20130813	7247	5663	5647	77.92189871671036	6926612.0	955.7902580378087
20130814	3538	2663	1950	55.11588468061051	3311872.0	936.0859242509893
20130815	2403	1758	1147	47.73200166458593	3120369.0	1298.5305867665418
20130816	1745	1246	752	43.0945558739255	2159044.0	1237.2744985673353
20130817	1203	836	460	38.23773898586866	1644222.0	1366.7680798004988
20130818	1119	771	430	38.42716711349419	1465289.0	1309.4629133154601
20130819	1095	784	466	42.55707762557078	1342538.0	1226.062100456621
20130820	1186	881	549	46.290050590219224	1307733.0	1102.641652613828
20130821	5582	4393	4072	72.94876388391258	5547446.0	993.8097456108922
20130822	2849	2032	1343	47.13934713934714	3343159.0	1173.4499824499824
20130823	1367	959	458	33.50402340892465	1666537.0	1219.1199707388441
20130824	741	543	243	32.79352226720648	937292.0	1264.901484480432
20130825	809	524	230	28.43016069221261	996535.0	1231.8108776266997
20130826	711	514	227	31.926863572433195	900454.0	1266.4613220815752
20130827	665	485	203	30.526315789473685	713696.0	1073.227067669173
20130828	653	475	225	34.45635528330781	796447.0	1219.6738131699847
20130829	571	417	190	33.274956217162874	656131.0	1149.091068301226
20130830	535	363	171	31.962616822429908	562256.0	1050.9457943925233
20130831	436	286	110	25.229357798165136	604515.0	1386.5022935779816
20130901	400	271	116	28.999999999999996	620721.0	1551.8025
20130902	409	258	81	19.80440097799511	608893.0	1488.7359413202935
20130903	371	246	83	22.371967654986523	460307.0	1240.7196765498652
20130904	312	220	81	25.961538461538463	424032.0	1359.076923076923
20130905	308	203	72	23.376623376623375	427960.0	1389.4805194805194
20130906	331	216	79	23.867069486404834	526933.0	1591.9425981873112
20130907	253	167	51	20.158102766798418	335972.0	1327.9525691699605
20130908	242	168	66	27.27272727272727	361500.0	1493.801652892562
20130909	297	198	67	22.55892255892256	421693.0	1419.8417508417508
20130910	254	169	54	21.25984251968504	323720.0	1274.4881889763778
20130911	240	157	57	23.75	324781.0	1353.2541666666666
20130912	308	222	105	34.090909090909086	395274.0	1283.357142857143
20130913	263	176	88	33.460076045627375	405546.0	1542.0
20130914	204	127	43	21.07843137254902	315631.0	1547.2107843137255
20130915	227	153	70	30.837004405286343	350273.0	1543.0528634361233
20130916	197	129	45	22.84263959390863	298373.0	1514.5837563451776
20130917	184	123	46	25.0	233887.0	1271.125
20130918	178	131	52	29.213483146067414	270267.0	1518.3539325842696
20130919	167	104	33	19.760479041916167	327952.0	1963.7844311377246
20130920	171	99	40	23.391812865497073	312627.0	1828.2280701754387
20130921	159	103	38	23.89937106918239	234784.0	1476.6289308176101
20130922	177	116	58	32.7683615819209	255056.0	1440.9943502824858
20130923	427	320	248	58.07962529274005	409844.0	959.8220140515223
20130924	239	164	86	35.98326359832636	261235.0	1093.0334728033472
20130925	184	114	46	25.0	225645.0	1226.3315217391305
20130926	165	118	46	27.878787878787882	291781.0	1768.3696969696969
20130927	155	101	42	27.09677419354839	233327.0	1505.3354838709677
20130928	149	98	52	34.899328859060404	273005.0	1832.248322147651
20130929	142	91	39	27.464788732394368	240047.0	1690.4718309859154
20130930	174	113	49	28.160919540229884	247932.0	1424.896551724138
20131001	181	109	47	25.96685082872928	262243.0	1448.8563535911603
20131002	166	109	48	28.915662650602407	253774.0	1528.7590361445782
20131003	154	101	47	30.519480519480517	260757.0	1693.2272727272727
20131004	142	95	43	30.28169014084507	253985.0	1788.6267605633802
20131005	117	71	35	29.914529914529915	208881.0	1785.3076923076924
20131006	118	74	39	33.05084745762712	198964.0	1686.135593220339
20131007	139	83	39	28.05755395683453	245213.0	1764.1223021582734
20131008	131	87	39	29.770992366412212	189161.0	1443.9770992366412
20131009	139	86	33	23.741007194244602	203941.0	1467.2014388489208
