sessionCount	users	sessions
1	27383	27602
2	7929	8005
3	3745	3785
4	2287	2316
5	1585	1600
6	1196	1209
7	939	951
8	763	766
9	647	654
10	551	560
11	484	495
12	407	412
13	351	356
14	327	333
15	298	302
16	282	285
17	264	272
18	246	251
19	229	229
20	214	220
21	199	200
22	189	192
24	164	173
23	168	170
25	162	165
26	145	146
27	138	141
28	136	138
29	126	129
30	118	118
31	112	116
32	104	104
33	100	103
34	96	98
35	94	96
36	92	93
37	88	88
38	85	88
39	86	87
40	83	85
41	77	82
42	78	79
43	75	77
44	76	77
45	72	73
47	70	71
46	69	70
48	66	67
51	63	67
49	64	65
50	63	65
52	62	65
53	59	59
55	56	58
56	56	57
57	55	57
58	55	57
54	56	56
59	54	56
60	53	53
63	51	53
61	52	52
64	51	51
65	50	51
62	50	50
66	50	50
70	47	50
69	48	49
73	47	49
67	48	48
68	48	48
72	47	48
71	46	47
75	47	47
74	42	45
76	42	43
77	43	43
78	42	42
80	41	42
81	40	41
83	39	41
87	39	41
79	40	40
86	39	40
82	39	39
84	39	39
85	37	38
88	37	37
90	36	37
89	35	36
92	35	36
93	35	36
91	35	35
96	33	35
94	34	34
95	33	34
98	33	34
108	31	33
99	33	33
100	31	32
102	30	32
106	31	32
114	31	32
115	30	32
97	32	32
103	30	31
104	31	31
109	31	31
113	31	31
116	30	31
118	30	31
122	29	31
101	30	30
105	30	30
107	30	30
110	30	30
111	29	30
112	29	30
119	30	30
120	29	30
121	29	30
117	29	29
124	29	29
126	28	29
123	28	28
125	28	28
127	28	28
128	27	28
130	28	28
131	28	28
129	26	27
132	27	27
133	27	27
134	27	27
136	26	26
137	26	26
135	25	25
138	24	25
139	25	25
141	24	24
142	24	24
144	24	24
149	24	24
150	23	24
140	23	23
143	23	23
145	23	23
147	23	23
148	23	23
151	23	23
157	22	23
160	22	23
146	22	22
153	21	22
154	22	22
156	22	22
158	22	22
152	21	21
159	21	21
161	21	21
162	20	21
163	21	21
164	21	21
166	21	21
168	21	21
169	20	21
170	21	21
171	21	21
173	21	21
155	20	20
165	20	20
167	20	20
172	20	20
174	19	19
175	19	19
176	18	19
177	18	18
178	18	18
179	18	18
181	18	18
183	18	18
184	18	18
186	18	18
187	18	18
189	18	18
191	18	18
203	17	18
180	17	17
182	17	17
185	17	17
188	17	17
190	17	17
192	17	17
195	17	17
196	17	17
197	17	17
198	17	17
199	17	17
201	17	17
205	17	17
206	17	17
207	17	17
209	17	17
210	17	17
211	17	17
212	17	17
240	16	17
242	16	17
193	16	16
194	16	16
200	16	16
204	16	16
208	16	16
213	15	16
214	16	16
215	16	16
216	16	16
218	16	16
219	16	16
220	16	16
222	16	16
223	16	16
227	16	16
228	16	16
230	16	16
231	16	16
232	16	16
234	16	16
235	16	16
236	16	16
239	16	16
243	16	16
245	16	16
246	16	16
247	16	16
248	16	16
249	16	16
250	16	16
253	16	16
254	16	16
255	16	16
272	15	16
217	15	15
233	15	15
237	15	15
241	15	15
244	15	15
252	15	15
256	15	15
257	15	15
261	15	15
262	15	15
266	15	15
267	15	15
268	14	15
269	15	15
271	14	15
274	15	15
278	15	15
280	15	15
283	15	15
289	14	15
302	14	15
312	14	15
202	14	14
221	14	14
224	14	14
225	14	14
226	14	14
229	14	14
238	14	14
251	14	14
258	14	14
259	14	14
260	14	14
263	14	14
264	14	14
265	14	14
270	14	14
273	14	14
275	14	14
276	14	14
277	14	14
279	14	14
281	14	14
282	14	14
284	14	14
286	14	14
288	14	14
291	14	14
293	14	14
294	14	14
297	14	14
298	14	14
299	14	14
300	14	14
301	14	14
303	14	14
304	14	14
305	14	14
306	14	14
307	14	14
308	14	14
310	14	14
311	14	14
313	14	14
315	13	14
285	13	13
287	13	13
290	13	13
292	13	13
295	13	13
296	13	13
309	13	13
314	13	13
317	13	13
320	13	13
321	13	13
322	13	13
323	13	13
325	13	13
327	13	13
332	12	13
316	12	12
318	12	12
319	12	12
324	12	12
328	11	12
329	12	12
330	12	12
348	11	12
366	11	12
326	11	11
331	11	11
333	11	11
334	11	11
335	11	11
337	11	11
338	11	11
339	11	11
340	11	11
342	11	11
343	11	11
344	11	11
345	11	11
349	11	11
350	11	11
351	11	11
353	11	11
354	11	11
355	11	11
356	11	11
357	11	11
358	11	11
359	10	11
360	11	11
362	11	11
364	11	11
365	11	11
367	11	11
368	11	11
370	11	11
371	11	11
372	11	11
373	11	11
374	11	11
377	10	11
380	10	11
390	10	11
336	10	10
346	10	10
352	10	10
361	10	10
363	10	10
369	10	10
376	10	10
378	10	10
379	10	10
382	10	10
383	10	10
384	10	10
385	10	10
387	10	10
389	10	10
396	9	10
423	9	10
425	9	10
438	8	10
444	9	10
341	9	9
347	9	9
375	9	9
388	9	9
391	9	9
393	9	9
394	9	9
395	9	9
397	9	9
398	9	9
399	9	9
401	9	9
402	9	9
403	9	9
404	9	9
405	9	9
406	9	9
407	9	9
408	9	9
410	9	9
411	9	9
412	9	9
413	9	9
414	9	9
415	9	9
417	9	9
418	9	9
421	9	9
424	9	9
426	9	9
428	9	9
431	9	9
432	9	9
433	9	9
434	9	9
435	9	9
440	9	9
442	9	9
443	9	9
445	9	9
446	8	9
459	8	9
462	8	9
465	8	9
477	8	9
381	8	8
386	8	8
392	8	8
400	8	8
409	8	8
419	8	8
420	7	8
422	8	8
427	8	8
429	8	8
430	8	8
436	8	8
439	8	8
441	8	8
448	8	8
449	8	8
450	7	8
451	8	8
452	8	8
453	8	8
454	8	8
456	8	8
458	8	8
461	8	8
463	8	8
466	8	8
467	8	8
469	8	8
470	8	8
471	8	8
472	8	8
473	8	8
474	8	8
475	8	8
476	8	8
478	7	8
416	7	7
437	7	7
447	7	7
455	7	7
457	7	7
460	7	7
464	7	7
468	7	7
479	7	7
480	7	7
482	7	7
483	7	7
485	7	7
486	7	7
487	7	7
488	7	7
490	7	7
505	6	7
507	6	7
481	6	6
484	6	6
489	6	6
491	6	6
492	6	6
493	6	6
494	6	6
495	6	6
497	6	6
498	6	6
499	6	6
500	6	6
501	6	6
502	6	6
504	6	6
506	6	6
508	6	6
523	5	6
527	5	6
530	5	6
496	5	5
503	4	5
509	5	5
511	5	5
512	5	5
513	5	5
514	5	5
517	5	5
518	5	5
519	5	5
520	5	5
521	5	5
522	5	5
524	5	5
525	5	5
526	5	5
528	5	5
529	5	5
531	5	5
532	5	5
533	5	5
534	5	5
535	5	5
536	5	5
537	5	5
538	5	5
539	5	5
540	5	5
543	4	5
574	4	5
578	4	5
597	4	5
607	4	5
510	4	4
515	4	4
516	4	4
544	4	4
546	4	4
547	4	4
549	3	4
550	4	4
552	4	4
553	4	4
554	4	4
555	4	4
556	4	4
557	3	4
558	4	4
