Datsetid	Players_total	No.ofalignments	Players_active	Usable_alignments	Empty_alignments	Maxscoreperread	Readnumber
2	9	9	9	9	0	40.65	20
3	12	12	10	10	2	75.15	20
4	19	19	14	14	5	81.0	20
5	22	22	18	18	4	61.2	20
6	12	12	10	10	2	31.6	10
7	16	19	14	17	2	21.35	20
8	17	17	13	13	4	88.2	20
9	15	15	13	13	2	68.9090909090909	11
10	13	13	12	12	1	24.35	20
11	20	20	19	19	1	65.11111111111111	9
12	18	18	16	16	2	66.75	20
13	12	12	10	10	2	65.28571428571429	14
14	16	16	12	12	4	35.45	20
15	15	15	10	10	5	45.1	20
16	14	14	12	12	2	55.8	20
17	12	12	9	9	3	89.95	20
18	13	13	8	8	5	96.05	20
19	14	14	13	13	1	95.8	20
20	13	13	13	13	0	96.25	20
21	14	14	13	13	1	98.5	20
22	11	11	9	9	2	95.05	20
23	14	14	13	13	1	95.85	20
24	8	8	4	4	4	95.0	20
25	14	14	14	14	0	97.0	20
26	11	11	9	9	2	97.8	20
27	12	12	10	10	2	81.85	20
28	12	12	11	11	1	43.0	10
29	17	17	14	14	3	47.2	20
30	11	11	7	7	4	46.55	20
31	25	26	19	20	6	48.0	20
32	17	17	13	13	4	48.4	20
33	17	17	11	11	6	47.4	20
34	11	11	9	9	2	50.5	20
35	16	16	13	13	3	51.05	20
36	12	12	11	11	1	85.75	20
37	16	16	15	15	1	96.6	20
38	12	19	11	18	1	96.2	20
39	9	9	9	9	0	95.85	20
40	18	19	12	13	6	95.55	20
41	14	15	10	11	4	96.25	20
42	13	13	13	13	0	96.75	20
43	9	9	6	6	3	95.8	20
44	13	13	11	11	2	97.0	20
45	16	16	10	10	6	96.2	20
46	18	18	15	15	3	96.6	20
47	11	11	8	8	3	94.65	20
48	17	17	16	16	1	95.4	20
49	10	10	8	8	2	96.25	20
50	16	16	13	13	3	95.8	20
51	8	8	8	8	0	95.9	20
52	19	21	12	12	9	92.15	20
53	11	11	10	10	1	95.8	20
54	281	281	1	1	280	93.25	20
55	13	13	10	10	3	87.65	20
56	16	16	12	12	4	84.65	20
57	16	16	14	14	2	79.35	20
58	24	24	20	20	4	75.5	20
59	17	17	16	16	1	66.95	20
60	14	14	10	10	4	66.75	20
61	11	11	9	9	2	65.2	20
62	16	16	15	15	1	54.8	20
63	21	21	11	11	10	41.75	20
64	10	10	9	9	1	48.95	20
65	18	18	10	10	8	46.65	20
66	17	17	11	11	6	45.72727272727273	11
67	17	17	16	16	1	32.2	20
68	13	13	12	12	1	64.4	20
69	10	10	8	8	2	45.2	20
70	13	13	12	12	1	46.0	20
71	11	11	9	9	2	76.65	20
72	18	18	13	13	5	91.05	20
73	15	17	13	15	2	57.4	20
74	20	20	10	10	10	27.88888888888889	9
75	13	13	9	9	4	50.1	20
76	12	12	10	10	2	68.55	20
77	17	18	13	14	4	59.5	20
78	18	18	13	13	5	66.75	20
79	21	21	19	19	2	63.45	20
80	16	16	10	10	6	58.8	20
81	17	17	14	14	3	73.25	20
82	14	14	10	10	4	67.8	20
83	10	10	10	10	0	63.35	20
84	14	14	10	10	4	66.0	20
85	10	10	6	6	4	85.25	20
86	21	21	17	17	4	80.15	20
87	15	18	13	16	2	89.0	20
88	11	11	9	9	2	88.2	20
89	14	14	13	13	1	85.3	20
90	19	19	18	18	1	89.0	20
91	10	10	9	9	1	88.65	20
92	10	10	10	10	0	88.4	20
93	18	18	13	13	5	86.0	20
94	12	12	12	12	0	85.8	20
95	7	7	6	6	1	88.0	20
96	13	13	11	11	2	85.15	20
97	13	13	11	11	2	88.6	20
98	19	19	14	14	5	87.85	20
99	15	15	13	13	2	88.2	20
100	17	17	16	16	1	89.0	20
101	6	6	5	5	1	87.95	20
102	20	20	15	15	5	96.6	20
103	16	16	12	12	4	90.55	20
104	17	17	15	15	2	67.7	20
105	11	11	8	8	3	49.0	3
106	14	14	12	12	2	2.0	20
107	9	9	9	9	0	97.0	20
108	16	16	16	16	0	95.85	20
109	8	8	6	6	2	88.45	20
110	12	12	12	12	0	61.45	20
111	9	9	8	8	1	61.65	20
112	7	7	7	7	0	61.6	20
113	11	12	7	7	5	65.0	1
114	12	12	9	9	3	61.15	20
