id     | user_id | dataset_id | score | cigar_files                                                                                                                                 | last_saved          | current_best | was_best | icon_id |
348 |      49 |       9792 |  1835 | 4514,4515,4516,4517,4518,4519,4520,4521,4522,4523,4524,4525,4526,4527,4528,4529,4530,4531,4532                                              | 2013-08-09 17:24:13 |            0 |        1 |      21 |
349 |      49 |       5169 |  -478 |                                                                                                                                             | 2013-08-08 16:35:28 |            0 |        0 |       4 |
350 |      49 |       8037 |   131 | 4533,4534,4535,4536,4537,4538,4539,4540,4541,4542,4543,4544,4545,4546,4547,4548,4549,4550,4551,4552                                         | 2013-08-08 16:35:52 |            0 |        0 |       5 |
352 |      49 |        522 |  -413 | 4573,4574,4575,4576,4577,4578,4579,4580,4581,4582,4583,4584,4585,4586,4587,4588,4589,4590,4591,4592                                         | 2013-08-09 17:29:12 |            0 |        1 |      17 |
353 |      49 |       8655 |  -693 |                                                                                                                                             | 2013-08-09 09:21:44 |            0 |        0 |       9 |
369 |      49 |       7247 |   219 | 4790,4791,4792,4793,4794,4795,4796,4797,4798,4799,4800,4801,4802,4803,4804,4805,4806,4807,4808,4809                                         | 2013-08-09 14:30:47 |            0 |        1 |      32 |
370 |      49 |       4796 |    84 | 4810,4811,4812,4813,4814,4815,4816,4817,4818,4819,4820,4821,4822,4823,4824                                                                  | 2013-08-09 14:31:21 |            0 |        1 |       3 |
371 |      49 |       4863 |    30 | 4825,4826,4827,4828,4829,4830,4831,4832,4833,4834,4835,4836                                                                                 | 2013-08-09 17:21:49 |            0 |        1 |      15 |
372 |      49 |       1413 |  1382 | 4837,4838,4839,4840,4841,4842,4843,4844,4845,4846,4847,4848,4849,4850,4851,4852,4853,4854,4855,4856                                         | 2013-08-09 17:20:15 |            0 |        1 |       1 |
373 |      49 |       6471 |    97 | 4857,4858,4859,4860,4861,4862,4863,4864,4865,4866,4867,4868,4869,4870,4871,4872,4873,4874,4875,4876                                         | 2013-08-09 10:25:30 |            0 |        1 |      14 |
374 |      49 |       4040 |   -65 | 4877,4878,4879,4880,4881,4882,4883,4884,4885                                                                                                | 2013-08-09 11:58:17 |            0 |        1 |       2 |
388 |      49 |       7553 |   -15 | 5247,5248,5249,5250,5251,5252,5253,5254,5255,5256,5257,5258,5259,5260,5261,5262,5263,5264,5265,5266                                         | 2013-08-09 17:21:19 |            0 |        1 |      21 |
389 |      49 |       6584 |  -442 | 5108,5109,5110,5111,5112,5113,5114,5115,5116,5117,5118,5119,5120,5121,5122,5123,5124,5125,5126                                              | 2013-08-09 11:50:55 |            0 |        1 |       6 |
390 |      49 |        930 |  -276 | 5127,5128,5129,5130,5131,5132,5133,5134,5135,5136,5137,5138,5139,5140,5141,5142,5143,5144,5145,5146                                         | 2013-08-09 11:51:32 |            0 |        1 |      24 |
