Datsetid	Players_total	Players_active	No.ofalignments	Empty_alignments	Maxscoreperread	Readnumber
2	9	9	9	9	40.65	20
3	12	10	12	10	75.15	20
4	19	14	19	14	81.0	20
5	22	18	22	18	61.2	20
6	12	10	12	10	31.6	10
7	19	14	19	17	21.35	20
8	17	13	17	13	88.2	20
9	15	13	15	13	68.9090909090909	11
10	13	12	13	12	24.35	20
11	20	19	20	19	65.11111111111111	9
12	18	16	18	16	66.75	20
13	12	10	12	10	65.28571428571429	14
14	16	12	16	12	35.45	20
15	15	10	15	10	45.1	20
16	14	12	14	12	55.8	20
17	12	9	12	9	89.95	20
18	13	8	13	8	96.05	20
19	14	13	14	13	95.8	20
20	13	13	13	13	96.25	20
21	14	13	14	13	98.5	20
22	11	9	11	9	95.05	20
23	14	13	14	13	95.85	20
24	8	4	8	4	95.0	20
25	14	14	14	14	97.0	20
26	11	9	11	9	97.8	20
27	12	10	12	10	81.85	20
28	12	11	12	11	43.0	10
29	17	14	17	14	47.2	20
30	11	7	11	7	46.55	20
31	26	19	26	20	48.0	20
32	17	13	17	13	48.4	20
33	17	11	17	11	47.4	20
34	11	9	11	9	50.5	20
35	16	13	16	13	51.05	20
36	12	11	12	11	85.75	20
37	16	15	16	15	96.6	20
38	19	11	19	18	96.2	20
39	9	9	9	9	95.85	20
40	19	12	19	13	95.55	20
41	15	10	15	11	96.25	20
42	13	13	13	13	96.75	20
43	9	6	9	6	95.8	20
44	13	11	13	11	97.0	20
45	16	10	16	10	96.2	20
46	18	15	18	15	96.6	20
47	11	8	11	8	94.65	20
48	17	16	17	16	95.4	20
49	10	8	10	8	96.25	20
50	16	13	16	13	95.8	20
51	8	8	8	8	95.9	20
52	21	12	21	12	92.15	20
53	11	10	11	10	95.8	20
54	281	1	281	1	93.25	20
55	13	10	13	10	87.65	20
56	16	12	16	12	84.65	20
57	16	14	16	14	79.35	20
58	24	20	24	20	75.5	20
59	17	16	17	16	66.95	20
60	14	10	14	10	66.75	20
61	11	9	11	9	65.2	20
62	16	15	16	15	54.8	20
63	21	11	21	11	41.75	20
64	10	9	10	9	48.95	20
65	18	10	18	10	46.65	20
66	17	11	17	11	45.72727272727273	11
67	17	16	17	16	32.2	20
68	13	12	13	12	64.4	20
69	10	8	10	8	45.2	20
70	13	12	13	12	46.0	20
71	11	9	11	9	76.65	20
72	18	13	18	13	91.05	20
73	17	13	17	15	57.4	20
74	20	10	20	10	27.88888888888889	9
75	13	9	13	9	50.1	20
76	12	10	12	10	68.55	20
77	18	13	18	14	59.5	20
78	18	13	18	13	66.75	20
79	21	19	21	19	63.45	20
80	16	10	16	10	58.8	20
81	17	14	17	14	73.25	20
82	14	10	14	10	67.8	20
83	10	10	10	10	63.35	20
84	14	10	14	10	66.0	20
85	10	6	10	6	85.25	20
86	21	17	21	17	80.15	20
87	18	13	18	16	89.0	20
88	11	9	11	9	88.2	20
89	14	13	14	13	85.3	20
90	19	18	19	18	89.0	20
91	10	9	10	9	88.65	20
92	10	10	10	10	88.4	20
93	18	13	18	13	86.0	20
94	12	12	12	12	85.8	20
95	7	6	7	6	88.0	20
96	13	11	13	11	85.15	20
97	13	11	13	11	88.6	20
98	19	14	19	14	87.85	20
99	15	13	15	13	88.2	20
100	17	16	17	16	89.0	20
101	6	5	6	5	87.95	20
102	20	15	20	15	96.6	20
103	16	12	16	12	90.55	20
104	17	15	17	15	67.7	20
105	11	8	11	8	49.0	3
106	14	12	14	12	2.0	20
107	9	9	9	9	97.0	20
108	16	16	16	16	95.85	20
109	8	6	8	6	88.45	20
110	12	12	12	12	61.45	20
111	9	8	9	8	61.65	20
112	7	7	7	7	61.6	20
113	12	7	12	7	65.0	1
114	12	9	12	9	61.15	20
115	18	17	18	18	17.357142857142858	14
116	18	11	18	11	31.3	20
117	16	13	16	13	39.4	20
118	11	9	11	9	80.6	20
119	10	6	10	6	88.2	20
120	15	12	15	12	88.6	20
121	11	6	11	6	86.65	20
122	18	15	18	15	87.0	20
123	13	11	13	11	88.2	20
124	10	6	10	6	86.1	20
125	15	12	15	12	79.7	20
126	17	10	17	10	46.25	20
127	21	14	21	14	35.0	7
128	13	10	13	10	44.0	20
129	6	4	6	4	64.3	20
130	18	15	18	15	88.15	20
131	17	13	17	13	87.1	20
132	20	14	20	14	85.95	20
133	15	14	15	14	87.2	20
134	21	15	21	15	88.25	20
135	14	12	14	12	72.05	20
136	12	8	12	8	47.294117647058826	17
137	13	11	13	11	32.4	20
138	17	16	17	16	77.6	20
