ID	variant	HighScore	NoOfUsersWithHighScore	NoOfReadsinPuzzle	NoOfUsableReadsinPuzzle	UserPercentDifferntToBWA	MeanPercentOfReadsDifferent	NoOfReadsinPuzzleCovALT	UserPercentDifferntToBWACovALT	MeanPercentOfReadsDifferentCovALT
2	snp	813	7	20	20	100	50.0	5	100	80.0
3	snp	1503	6	20	20	100	80.0	13	100	76.0
4	snp	1620	12	20	20	0	0	11	0	0
5	snp	1224	16	20	18	0	0	14	0	0
6	snp	316	1	10	10	100	30.0	1	0	0
7	snp	427	2	20	20	100	25.0	12	0	0
8	snp	1764	8	20	18	100	11.0	14	100	14.0
9	snp	758	4	11	9	100	33.0	6	100	33.0
10	snp	487	3	20	20	100	20.0	13	0	0
11	snp	586	16	9	9	100	66.0	5	100	40.0
12	snp	1335	13	20	20	0	0	15	0	0
13	snp	914	5	14	14	100	7.0	9	100	11.0
14	indel	709	1	20	20	100	100.0	0	0	0
15	indel	902	2	20	20	100	70.0	1	0	0
16	indel	1116	2	20	20	100	50.0	7	0	0
17	indel	1799	4	20	20	100	62.5	13	100	61.0
18	indel	1921	5	20	20	100	80.0	10	100	60.0
19	indel	1916	11	20	20	100	100.0	4	100	100.0
20	indel	1925	12	20	20	100	95.0	8	100	87.0
21	indel	1970	12	20	20	100	75.0	14	100	64.0
22	indel	1901	1	20	20	100	85.0	14	100	78.0
23	indel	1917	7	20	20	100	95.0	14	100	92.0
24	indel	1900	4	20	20	100	100.0	5	100	100.0
25	indel	1940	13	20	20	100	95.0	2	100	100.0
26	indel	1956	7	20	20	100	85.0	10	100	80.0
27	indel	1637	7	20	20	100	75.0	16	100	87.0
28	indel	430	4	10	10	100	100.0	0	0	0
29	snp	944	3	20	20	100	100.0	0	0	0
30	snp	931	3	20	20	100	100.0	0	0	0
31	snp	960	9	20	20	100	100.0	0	0	0
32	snp	968	3	20	20	100	70.0	0	0	0
33	snp	948	1	20	20	100	20.0	5	100	40.0
34	snp	1010	2	20	20	100	20.0	4	100	50.0
35	snp	1021	4	20	20	100	10.0	3	0	0
36	snp	1715	2	20	20	100	5.0	9	0	0
37	snp	1932	12	20	20	0	0	4	0	0
38	snp	1924	18	20	20	0	0	8	0	0
39	snp	1917	3	20	20	100	5.0	6	100	16.0
40	snp	1911	7	20	20	100	5.0	8	100	12.0
41	snp	1925	4	20	20	100	5.0	5	100	20.0
42	snp	1935	10	20	20	100	5.0	10	100	10.0
43	snp	1916	4	20	20	0	0	9	0	0
44	snp	1940	9	20	20	0	0	6	0	0
45	snp	1924	9	20	20	0	0	7	0	0
46	snp	1932	13	20	20	0	0	13	0	0
47	snp	1893	2	20	20	100	5.0	9	100	11.0
48	snp	1908	13	20	20	0	0	9	0	0
49	snp	1925	4	20	20	100	5.0	7	100	14.0
50	snp	1916	12	20	20	0	0	14	0	0
51	snp	1918	2	20	20	100	10.0	6	100	33.0
52	snp	1843	10	20	20	0	0	8	0	0
53	snp	1916	10	20	20	100	5.0	7	100	14.0
54	snp	1865	281	20	20	0	0	3	0	0
55	snp	1753	9	20	20	0	0	9	0	0
56	snp	1693	4	20	20	100	10.0	8	100	25.0
57	snp	1587	7	20	20	100	5.0	9	100	11.0
58	snp	1510	18	20	20	0	0	7	0	0
59	snp	1339	9	20	20	100	5.0	6	100	16.0
60	snp	1335	6	20	20	100	5.0	8	100	12.0
61	snp	1304	6	20	20	100	70.0	5	100	80.0
62	snp	1096	6	20	20	100	100.0	9	100	100.0
63	snp	835	4	20	20	100	45.0	0	0	0
64	snp	979	5	20	20	100	100.0	0	0	0
65	snp	933	2	20	20	100	100.0	0	0	0
66	snp	503	1	11	11	100	100.0	0	0	0
67	snp	644	15	20	20	100	35.0	14	100	35.0
68	snp	1288	11	20	20	100	70.0	9	100	66.0
69	snp	904	4	20	20	100	50.0	13	100	46.0
70	snp	920	8	20	20	100	50.0	17	100	41.0
71	snp	1533	5	20	20	100	85.0	14	100	78.0
72	snp	1821	6	20	20	100	85.0	9	100	88.0
73	snp	1148	6	20	18	100	11.0	9	100	11.0
74	snp	251	8	9	9	100	11.0	0	0	0
75	snp	1002	1	20	20	100	30.0	8	100	25.0
76	snp	1371	2	20	20	100	100.0	2	100	100.0
77	snp	1190	3	20	20	100	90.0	0	0	0
78	snp	1335	3	20	20	100	95.0	3	100	100.0
79	snp	1269	5	20	20	100	90.0	2	100	100.0
80	snp	1176	1	20	20	100	95.0	3	100	100.0
81	snp	1465	11	20	20	100	85.0	10	100	90.0
82	snp	1356	1	20	20	100	90.0	5	100	100.0
83	snp	1267	2	20	20	100	90.0	4	100	75.0
84	snp	1320	2	20	20	100	100.0	7	100	100.0
85	snp	1705	2	20	20	100	20.0	5	100	60.0
86	snp	1603	10	20	20	100	15.0	11	100	18.0
87	snp	1780	13	20	20	0	0	4	0	0
88	snp	1764	7	20	20	0	0	5	0	0
89	snp	1706	5	20	20	100	5.0	6	0	0
90	snp	1780	17	20	20	0	0	8	0	0
91	snp	1773	2	20	20	100	5.0	8	100	12.0
92	snp	1768	8	20	20	100	10.0	5	100	40.0
93	snp	1720	10	20	20	0	0	5	0	0
94	snp	1716	11	20	20	100	5.0	10	100	10.0
95	snp	1760	3	20	20	100	10.0	7	100	28.0
96	snp	1703	5	20	20	100	15.0	9	100	33.0
97	snp	1772	10	20	20	0	0	10	0	0
98	snp	1757	7	20	20	100	5.0	13	100	7.0
99	snp	1764	12	20	20	0	0	12	0	0
100	snp	1780	13	20	20	0	0	5	0	0
101	snp	1759	1	20	20	100	5.0	12	100	8.0
102	snp	1932	12	20	20	0	0	9	0	0
103	snp	1811	12	20	20	0	0	12	0	0
104	snp	1354	3	20	20	100	20.0	12	100	16.0
105	snp	147	4	3	3	100	66.0	0	0	0
106	snp	40	9	20	20	0	0	9	0	0
107	snp	1940	8	20	20	100	100.0	6	100	100.0
108	snp	1917	9	20	20	100	100.0	10	100	100.0
109	snp	1769	4	20	20	100	62.5	11	100	85.5
110	snp	1229	1	20	20	100	100.0	5	100	100.0
111	snp	1233	1	20	20	100	100.0	0	0	0
112	snp	1232	2	20	20	100	100.0	0	0	0
113	snp	65	1	1	1	100	100.0	0	0	0
114	snp	1223	1	20	20	100	20.0	12	100	8.0
115	snp	243	11	14	14	27	7.0	8	27	12.0
116	snp	626	1	20	20	100	100.0	0	0	0
117	snp	788	1	20	20	100	55.0	0	0	0
118	snp	1612	9	20	20	100	5.0	13	100	7.0
119	snp	1764	4	20	20	0	0	13	0	0
120	snp	1772	11	20	20	0	0	11	0	0
121	snp	1733	2	20	20	100	5.0	12	100	8.0
122	snp	1740	14	20	20	100	10.0	18	100	11.0
123	snp	1764	10	20	20	100	10.0	16	100	12.0
124	snp	1722	4	20	20	100	10.0	11	100	18.0
125	snp	1594	10	20	18	100	5.0	12	100	8.0
126	snp	925	1	20	20	100	55.0	5	0	0
127	snp	245	2	7	7	100	100.0	0	0	0
128	snp	880	4	20	20	100	100.0	0	0	0
129	snp	1286	3	20	20	100	5.0	13	0	0
130	snp	1763	9	20	20	100	5.0	14	100	7.0
131	snp	1742	3	20	20	100	10.0	8	100	25.0
132	snp	1719	2	20	20	100	20.0	14	100	28.0
133	snp	1744	5	20	20	100	5.0	9	100	11.0
134	snp	1765	4	20	20	100	5.0	14	100	7.0
135	snp	1441	3	20	20	100	20.0	9	100	44.0
136	snp	804	1	17	17	100	82.0	1	0	0
